Variable Name,Variable Description
RIDEXMON,"Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31."
RIDEXAGM,Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examination.
DMQMILIZ,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)"
DMQADFC,"Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (This would include National Guard or reserve or active duty monitoring or conducting peace keeping operations in Bosnia and Kosovo, in the Sinai between Egypt and Israel, or in response to the 2004 tsunami or Haiti in 2010.)"
DMDBORN4,In what country {were you/was SP} born?
DMDCITZN,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.]
DMDYRSUS,Length of time the participant has been in the US.
DMDEDUC3,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?
DMDEDUC2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?
DMDMARTL,Marital status
RIDEXPRG,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.
SIALANG,Language of the Sample Person Interview Instrument
SIAPROXY,Was a Proxy respondent used in conducting the Sample Person (SP) interview?
SIAINTRP,Was an interpreter used to conduct the Sample Person (SP) interview?
FIALANG,Language of the Family Interview Instrument
FIAPROXY,Was a Proxy respondent used in conducting the Family Interview?
FIAINTRP,Was an interpreter used to conduct the Family interview?
MIALANG,Language of the MEC CAPI Interview Instrument
MIAPROXY,Was a Proxy respondent used in conducting the MEC CAPI Interview?
MIAINTRP,Was an interpreter used to conduct the MEC CAPI interview?
AIALANGA,Language of the MEC ACASI Interview Instrument
DMDHHSIZ,Total number of people in the Household
DMDFMSIZ,Total number of people in the Family
DMDHHSZA,Number of children aged 5 years or younger in the household
DMDHHSZB,Number of children aged 6-17 years old in the household
DMDHHSZE,Number of adults aged 60 years or older in the household
DMDHRGND,HH reference person's gender
DMDHRAGE,HH reference person's age in years
DMDHRBR4,HH reference person's country of birth
DMDHREDU,HH reference person's education level
DMDHRMAR,HH reference person's marital status
DMDHSEDU,HH reference person's spouse's education level
WTINT2YR,Full sample 2 year interview weight.
WTMEC2YR,Full sample 2 year MEC exam weight.
SDMVPSU,Masked variance unit pseudo-PSU variable for variance estimation
SDMVSTRA,Masked variance unit pseudo-stratum variable for variance estimation
INDHHIN2,Total household income (reported as a range value in dollars)
INDFMIN2,Total family income (reported as a range value in dollars)
INDFMPIR,A ratio of family income to poverty guidelines.
SEQN,Respondent sequence number.
RIDSTATR,Interview and examination status of the participant.
RIAGENDR,Gender of the participant.
RIDAGEYR,Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.
RIDAGEMN,Age in months of the participant at the time of screening. Individuals aged 959 months and older are topcoded at 959 months.
RIDAGEEX,Age in years of the participant at the time of examination. Individuals aged 959 months and older are topcoded at 959 months.
RIDRETH1,Recode of reported race and Hispanic origin information
DMDBORN,In what country {were you/was SP} born?
DMDBORN2, 
DMDCITZN,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.]
DMDYRSUS,Length of time the participant has been in the US.
DMDEDUC3,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?
DMDEDUC2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?
DMDMARTL,Marital status
RIDEXPRG,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.
INDHHIN2,Total household income (reported as a range value in dollars)
INDFMIN2,Total family income (reported as a range value in dollars)
INDFMPIR,A ratio of family income to poverty guidelines.
DMDHHSIZ,Total number of people in the Household
DMDFMSIZ,Total number of people in the Family
WTLAI8YR,"Full sample 8-year interview weight for participants in Los Angeles, California."
WTLI8R01,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 01 for participants in Los Angeles, California."
WTLI8R02,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 02 for participants in Los Angeles, California."
WTLI8R03,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 03 for participants in Los Angeles, California."
WTLI8R04,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 04 for participants in Los Angeles, California."
WTLI8R05,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 05 for participants in Los Angeles, California."
WTLI8R06,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 06 for participants in Los Angeles, California."
WTLI8R07,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 07 for participants in Los Angeles, California."
WTLI8R08,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 08 for participants in Los Angeles, California."
WTLI8R09,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 09 for participants in Los Angeles, California."
WTLI8R10,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 10 for participants in Los Angeles, California."
WTLI8R11,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 11 for participants in Los Angeles, California."
WTLI8R12,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 12 for participants in Los Angeles, California."
WTLI8R13,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 13 for participants in Los Angeles, California."
WTLI8R14,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 14 for participants in Los Angeles, California."
WTLI8R15,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 15 for participants in Los Angeles, California."
WTLI8R16,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 16 for participants in Los Angeles, California."
WTLI8R17,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 17 for participants in Los Angeles, California."
WTLI8R18,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 18 for participants in Los Angeles, California."
WTLI8R19,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 19 for participants in Los Angeles, California."
WTLI8R20,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 20 for participants in Los Angeles, California."
WTLI8R21,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 21 for participants in Los Angeles, California."
WTLI8R22,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 22 for participants in Los Angeles, California."
WTLI8R23,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 23 for participants in Los Angeles, California."
WTLI8R24,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 24 for participants in Los Angeles, California."
WTLI8R25,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 25 for participants in Los Angeles, California."
WTLI8R26,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 26 for participants in Los Angeles, California."
WTLI8R27,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 27 for participants in Los Angeles, California."
WTLI8R28,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 28 for participants in Los Angeles, California."
WTLI8R29,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 29 for participants in Los Angeles, California."
WTLI8R30,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 30 for participants in Los Angeles, California."
WTLI8R31,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 31 for participants in Los Angeles, California."
WTLI8R32,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 32 for participants in Los Angeles, California."
WTLI8R33,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 33 for participants in Los Angeles, California."
WTLI8R34,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 34 for participants in Los Angeles, California."
WTLI8R35,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 35 for participants in Los Angeles, California."
WTLI8R36,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 36 for participants in Los Angeles, California."
WTLI8R37,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 37 for participants in Los Angeles, California."
WTLI8R38,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 38 for participants in Los Angeles, California."
WTLI8R39,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 39 for participants in Los Angeles, California."
WTLI8R40,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 40 for participants in Los Angeles, California."
WTLI8R41,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 41 for participants in Los Angeles, California."
WTLI8R42,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 42 for participants in Los Angeles, California."
WTLI8R43,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 43 for participants in Los Angeles, California."
WTLI8R44,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 44 for participants in Los Angeles, California."
WTLI8R45,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 45 for participants in Los Angeles, California."
WTLI8R46,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 46 for participants in Los Angeles, California."
WTLI8R47,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 47 for participants in Los Angeles, California."
WTLI8R48,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 48 for participants in Los Angeles, California."
LATVPSU,Variance unit: PSU variable for variance estimation
LATVSTRA,Variance unit: stratum variable for variance estimation
WTLAM8YR,"Full sample 8-year MEC exam weight for participants in Los Angeles, California."
WTLM8R01,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 01 for participants in Los Angeles, California."
WTLM8R02,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 02 for participants in Los Angeles, California."
WTLM8R03,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 03 for participants in Los Angeles, California."
WTLM8R04,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 04 for participants in Los Angeles, California."
WTLM8R05,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 05 for participants in Los Angeles, California."
WTLM8R06,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 06 for participants in Los Angeles, California."
WTLM8R07,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 07 for participants in Los Angeles, California."
WTLM8R08,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 08 for participants in Los Angeles, California."
WTLM8R09,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 09 for participants in Los Angeles, California."
WTLM8R10,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 10 for participants in Los Angeles, California."
WTLM8R11,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 11 for participants in Los Angeles, California."
WTLM8R12,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 12 for participants in Los Angeles, California."
WTLM8R13,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 13 for participants in Los Angeles, California."
WTLM8R14,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 14 for participants in Los Angeles, California."
WTLM8R15,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 15 for participants in Los Angeles, California."
WTLM8R16,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 16 for participants in Los Angeles, California."
WTLM8R17,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 17 for participants in Los Angeles, California."
WTLM8R18,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 18 for participants in Los Angeles, California."
WTLM8R19,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 19 for participants in Los Angeles, California."
WTLM8R20,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 20 for participants in Los Angeles, California."
WTLM8R21,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 21 for participants in Los Angeles, California."
WTLM8R22,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 22 for participants in Los Angeles, California."
WTLM8R23,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 23 for participants in Los Angeles, California."
WTLM8R24,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 24 for participants in Los Angeles, California."
WTLM8R25,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 25 for participants in Los Angeles, California."
WTLM8R26,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 26 for participants in Los Angeles, California."
WTLM8R27,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 27 for participants in Los Angeles, California."
WTLM8R28,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 28 for participants in Los Angeles, California."
WTLM8R29,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 29 for participants in Los Angeles, California."
WTLM8R30,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 30 for participants in Los Angeles, California."
WTLM8R31,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 31 for participants in Los Angeles, California."
WTLM8R32,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 32 for participants in Los Angeles, California."
